'milk' 3
'white' 2
'white' 4
'sugar free' 6
'white' 1
'sugar free' 10
'dark' 18
'white' 9
'dark' 0
'dark' 23
'milk' 17
'white' 3
'white' 82
'milk' 59
'white' 2
'sugar free' 3
'white' 11
'dark' 14
'dark' 28
'milk' 2
'sugar free' 11
'white' 12
'white' 4
'sugar free' 23
'white' 5
'sugar free' 12
'white' 11
'milk' 9
'dark' 43
'dark' 32
'sugar free' 10
'dark' 13
'milk' 7
'sugar free' 23
'dark' 6
'white' 10
'sugar free' 1
'dark' 9
'sugar free' 11
'sugar free' 52
'dark' 3
'white' 60
'sugar free' 0
'dark' 13
'sugar free' 7
'white' 4
'milk' 10
'dark' 46
'dark' 2
'white' 4
'milk' 0
'milk' 1
'milk' 78
'sugar free' 5
'sugar free' 1
'dark' 75
'white' 14
'white' 23
'sugar free' 12
'milk' 15
'dark' 8
'white' 9
'dark' 1
'dark' 6
'dark' 1
'sugar free' 11
'milk' 5
'dark' 100
'milk' 10
'sugar free' 8
'sugar free' 45
'milk' 6
'dark' 9
'milk' 29
'dark' 5
'milk' 0
'dark' 14
'white' 10
'dark' 5
'milk' 9
'sugar free' 12
'white' 3
'dark' 4
'white' 8
'white' 7
'milk' 10
'sugar free' 16
'sugar free' 1
'sugar free' 22
'milk' 17
'dark' 17
'dark' 17
'milk' 48
'white' 6
'milk' 9
'milk' 10
'dark' 7
'dark' 11
'sugar free' 19
'dark' 10
